word,polar
above,1
accomplish,1
accomplished,1
accomplishes,1
accomplishing,1
accomplishment,1
accomplishments,1
achieve,1
achieved,1
achievement,1
achievements,1
achieves,1
achieving,1
beat,1
beating,1
beats,1
below,-1
best,1
better,1
certain,1
certainty,1
challenge,-1
challenged,-1
challenges,-1
challenging,-1
decline,-1
declined,-1
declines,-1
declining,-1
decrease,-1
decreased,-1
decreases,-1
decreasing,-1
definite,1
deliver,1
delivered,1
delivering,1
delivers,1
depressed,-1
deteriorate,-1
deteriorated,-1
deteriorates,-1
deteriorating,-1
difficult,-1
difficulty,-1
disappoint,-1
disappointed,-1
disappointing,-1
disappointment,-1
disappoints,-1
down,-1
downturn,-1
drop,-1
dropped,-1
dropping,-1
drops,-1
encouraged,1
encouraging,1
enjoy,1
enjoyed,1
enjoying,1
enjoys,1
exceed,1
exceeded,1
exceeding,1
exceeds,1
excellent,1
expand,1
expanded,1
expanding,1
expands,1
expansion,1
fail,-1
failing,-1
fails,-1
failure,-1
fall,-1
fallen,-1
falling,-1
falls,-1
fell,-1
good,1
greater,1
greatest,1
grew,1
grow,1
growing,1
grown,1
grows,1
growth,1
high,1
higher,1
highest,1
hurdle,-1
hurdles,-1
improve,1
improved,1
improvement,1
improvements,1
improves,1
improving,1
increase,1
increased,1
increases,1
increasing,1
larger,1
largest,1
leader,1
leading,1
least,-1
less,-1
low,-1
lower,-1
lowest,-1
more,1
most,1
negative,-1
negatives,-1
obstacle,-1
obstacles,-1
opportunities,1
opportunity,1
penalties,-1
penalty,-1
pleased,1
positive,1
positives,1
progress,1
progressing,1
record,1
reward,1
rewarded,1
rewarding,1
rewards,1
rise,1
risen,1
rises,1
rising,1
risk,-1
risks,-1
risky,-1
rose,1
shrink,-1
shrinking,-1
shrinks,-1
shrunk,-1
slump,-1
slumped,-1
slumping,-1
slumps,-1
smaller,-1
smallest,-1
solid,1
strength,1
strengthen,1
strengthened,1
strengthening,1
strengthens,1
strengths,1
strong,1
stronger,1
strongest,1
succeed,1
succeeded,1
succeeding,1
succeeds,1
success,1
successes,1
successful,1
threat,-1
threats,-1
uncertain,-1
uncertainty,-1
under,-1
unfavorable,-1
unsettled,-1
up,1
weak,-1
weaken,-1
weakened,-1
weakening,-1
weakens,-1
weakness,-1
weaknesses,-1
worse,-1
worsen,-1
worsening,-1
worsens,-1
worst,-1
