word,polar
3tc,-0.25
aaa,0.125
abandon,-0.25
abandonment,-0.5
abasement,0.0625
abashment,-0.375
abasia,-0.5
abasic,-0.25
abate,-0.25
abatement,-0.125
abatic,-0.25
abaxially,0.25
abdicable,0.375
abduct,-0.125
abduction,-1
aberrance,0.125
aberrancy,0.125
aberration,-0.0625
abetalipoproteinemia,-0.75
abeyant,-0.125
abhorrence,-0.375
abidance,0.625
abide,-0.5
abient,0.25
abiotrophy,-0.25
abject,-1
abjection,-0.125
abjectly,0.375
abjuration,-0.625
abjure,-0.625
ablate,-0.125
ablative,0.625
ablaut,0.5
able,0.125
ableism,0.125
ablepharia,0.5
ablism,0.125
ably,0.375
abnegation,0.125
abnormalcy,0.25
abnormality,0.375
abnormally,0.125
abocclusion,0.125
abominably,-0.5625
abomination,-0.375
abort,-0.583333333
abortifacient,-0.375
abortive,-0.25
abortively,0.25
abound,-0.125
about,0.25
above,0
aboveboard,0
abrade,-0.125
abrasive,-0.334
abreaction,0.375
absent,0.25
absenteeism,0.125
absently,0.5
absentminded,0.25
absentmindedly,0.5
absolute,0
absolutism,-0.25
absolve,0.125
absorb,0.25
absorbate,0.5
absorbed,0.125
absorbefacient,0.375
abstain,-0.375
abstemious,0.5
abstemiously,0.25
abstracted,0.25
abstractedly,0.5
abstrusely,-0.25
absurd,0.625
abuse,-0.325
abused,0.25
abusively,0.125
abysmally,-0.75
academically,0.125
academy,0.125
acanthocephalan,-0.25
acanthocytosis,-0.125
acanthopterygii,0.125
acardia,-0.5
acarophobia,-0.125
acarpous,-0.375
acatalectic,0.125
acataphasia,-0.5
acathexia,-0.375
acaudal,-0.25
acaudate,-0.25
acaulescent,0.25
accelerative,-0.125
acceleratory,-0.125
accent,0.4375
accenting,0.125
accentuation,0.125
accept,0.2
acceptably,0.5
acceptation,0.375
accepted,0.5
accepting,0.25
acceptive,0.125
accessary,0.375
accessible,0.125
accessional,0.125
accessory,0
accident,-0.4375
accidental,-0.125
accidentally,0.125
acclaim,0.375
acclimate,-0.375
acclimatise,-0.375
acclimatize,-0.375
accommodate,0.15625
accommodation,0.0625
accommodative,0.5
accord,-0.375
accordance,-0.125
accordingly,0.25
accost,0.125
accouterment,-0.375
accoutrement,-0.375
accretionary,-0.375
accretive,-0.25
acculturation,0.375
accumulative,0.375
accurately,0.25
accurse,-0.125
accuse,0.125
accusingly,0.25
accustomed,0.125
ace,0.0625
acellular,-0.5
acentric,-0.125
acephalia,-0.5
acephalism,-0.5
acephaly,-0.5
acerb,-0.25
acerbate,-0.125
acerbic,-0.25
acetaminophen,-0.5
acetin,-0.125
acetonemia,-0.25
acetonuria,-0.5
acetose,-0.25
acetous,-0.25
acetum,-0.125
ache,-0.375
acheronian,-0.125
acherontic,-0.125
achievability,0.125
aching,-0.25
achlamydeous,-0.625
achlorhydria,-0.625
achlorhydric,-0.25
acholia,-0.375
achondritic,-0.625
achondroplasia,-0.5
achondroplasty,-0.5
achromatic,-0.125
achromatous,-0.375
achylia,0.125
acid,-0.291666667
acidemia,-0.625
acidic,-0.1875
acidophilus,-0.125
acidotic,0.25
acidulent,-0.25
acidulous,-0.25
acknowledge,0.25
acknowledged,0.125
acknowledgement,-0.125
acknowledgment,-0.125
acne,-0.625
acned,-0.375
acneiform,-0.25
acnidosporidia,0.125
acorea,-0.5
acoustically,0.25
acquaint,0.125
acquiescence,0.5
acquirable,0.625
acquire,0.25
acquit,0.25
acquittal,0.625
acrid,0.25
acrimonious,0.25
acroanaesthesia,-0.125
acroanesthesia,-0.125
acrobatic,0.375
acrobatics,0.125
acrocyanosis,-0.125
acromegalia,-0.25
acromegaly,-0.25
acrophobia,0.25
acrophobic,-0.75
acrylamide,-0.125
acrylic,-0.125
act,0.0625
actinomyces,-0.125
actinomycosis,-0.5
actinomycotic,-0.125
actinopod,0.125
action,0.125
activated,0
activating,0.125
activation,0.125
active,0.046875
actively,0.5
activity,0.125
actual,-0.0625
actualisation,0.5
actualise,0.125
actualization,0.5
actualize,0.125
actually,0.25
aculeate,0.25
aculeated,0.25
acuminate,0.25
acupuncture,-0.125
acyclovir,-0.5
adactylia,-0.5
adactylism,-0.5
adactylous,-0.125
adactyly,-0.5
adagio,0.25
adapt,0.25
adaptative,0.25
